kind_code	kind_name	prefecture	name	category	subcategory	detail_url
302	重要無形民俗文化財	北海道	アイヌ古式舞踊	民俗芸能	その他	https://kunishitei.bunka.go.jp/heritage/detail/302/1
302	重要無形民俗文化財	北海道	松前神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/302/00000973
312	記録作成等の措置を講ずべき無形の民俗文化財	北海道	アイヌのユーカラ	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/177
312	記録作成等の措置を講ずべき無形の民俗文化財	北海道	アイヌの建築技術及び儀礼	風俗慣習	生産・生業	https://kunishitei.bunka.go.jp/heritage/detail/312/178
312	記録作成等の措置を講ずべき無形の民俗文化財	北海道	春採のアイヌ古式舞踊	民俗芸能	その他	https://kunishitei.bunka.go.jp/heritage/detail/312/179
312	記録作成等の措置を講ずべき無形の民俗文化財	北海道	松前神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/628
312	記録作成等の措置を講ずべき無形の民俗文化財	北海道	阿寒のアイヌ古式舞踊	民俗芸能	その他	https://kunishitei.bunka.go.jp/heritage/detail/312/180
302	重要無形民俗文化財	青森県	下北の能舞	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/302/6
302	重要無形民俗文化財	青森県	八戸のえんぶり	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/302/2
302	重要無形民俗文化財	青森県	八戸三社大祭の山車行事	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/764
302	重要無形民俗文化財	青森県	岩木山の登拝行事	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/5
302	重要無形民俗文化財	青森県	弘前のねぷた	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/4
302	重要無形民俗文化財	青森県	泉山の登拝行事	風俗慣習	人生・儀礼	https://kunishitei.bunka.go.jp/heritage/detail/302/672
302	重要無形民俗文化財	青森県	津軽海峡及び周辺地域における和船製作技術	民俗技術	生産・生業	https://kunishitei.bunka.go.jp/heritage/detail/302/00000808
302	重要無形民俗文化財	青森県	青森のねぶた	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/3
312	記録作成等の措置を講ずべき無形の民俗文化財	青森県	下北の能舞	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/186
312	記録作成等の措置を講ずべき無形の民俗文化財	青森県	久渡寺のオシラ講の習俗	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/718
