prefecture	municipality	designation	kind	name	source_url
茨城県	稲敷市	市指定	無形民俗	あんば囃子	https://www.city.inashiki.lg.jp/page/page000785.html
茨城県	守谷市	市指定	無形民俗文化財	八坂神社祇園祭	https://www.city.moriya.ibaraki.jp/bunka_sports_shiminkatsudou/rekishi/1003400/1003402/1003403.html
茨城県	那珂市	市指定	無形民俗	大助ばやし	https://www.city.naka.lg.jp/edu-board/bunkazai/shi-bunkazai/page000659.html
茨城県	下妻市	市指定	無形民俗	大宝八幡宮十二座神楽	https://www.city.shimotsuma.lg.jp/shogaigakushu-bunka-sports/bunka/shiseki-bunkazai/page000358.html
茨城県	水戸市	市指定	無形民俗文化財	大根むき花	https://www.city.mito.lg.jp/site/citypromotion/
茨城県	下妻市	市指定	無形民俗	大町はやし	https://www.city.shimotsuma.lg.jp/shogaigakushu-bunka-sports/bunka/shiseki-bunkazai/page000358.html
茨城県	北茨城市	市指定	無形民俗	富士ヶ丘棒ささら	https://www.city.kitaibaraki.lg.jp/docs/2015022300258/
茨城県	下妻市	市指定	無形民俗	平方はやし	https://www.city.shimotsuma.lg.jp/shogaigakushu-bunka-sports/bunka/shiseki-bunkazai/page000358.html
茨城県	古河市	市指定	無形民俗文化財	悪戸新田獅子舞	https://www.city.ibaraki-koga.lg.jp/soshiki/bunka/15/index.html
茨城県	水戸市	市指定	無形民俗文化財	有賀神社の磯渡御	https://www.city.mito.lg.jp/site/education/1767.html
茨城県	下妻市	市指定	無形民俗	村岡の高灯籍	https://www.city.shimotsuma.lg.jp/shogaigakushu-bunka-sports/bunka/shiseki-bunkazai/page000358.html
茨城県	古河市	市指定	無形民俗文化財	柳橋磐戸神楽	https://www.city.ibaraki-koga.lg.jp/bunrui/kogameguri/history_cultual_property/1/6989.html
茨城県	古河市	市指定	無形民俗文化財	獅子舞	https://www.city.ibaraki-koga.lg.jp/bunrui/kogameguri/history_cultual_property/1/4882.html
茨城県	小美玉市	市指定	無形民俗文化財	素鵞神社の祇園祭	https://www.city.omitama.lg.jp/0966/info-0000012244-0.html
茨城県	結城市	市指定	無形民俗文化財	結城ぎおんばやし	https://www.city.yuki.lg.jp/kosodate-kyouiku/shougaigakushuu/bunkazai/bunkazai/shishitei/page003219.html
茨城県	行方市	市指定	無形民俗文化財	麻生祇園馬出し祭り	https://www.city.namegata.ibaraki.jp/kankou/kankou-movie/page001557.html
茨城県	大子町	町指定	無形民俗文化財	中田植(御田植祭)	https://www.daigo-kanko.jp/events.html
茨城県	城里町	町指定	無形民俗文化財	古内大杉ばやし	https://www.town.shirosato.lg.jp/kyouikuiinkai/bunkazai-shiryoukan/machishitei-bukazai/mukeiminzokubunkazai/
茨城県	阿見町	町指定	無形民俗文化財	君島のひょっとこ	https://www.town.ami.lg.jp/0000000809.html
茨城県	阿見町	町指定	民俗文化財	君島ひょっとこ	https://www.town.ami.lg.jp/0000000721.html
茨城県	茨城町	町指定	無形民俗文化財	秋葉ばやし	https://www.town.ibaraki.lg.jp/gyousei/news/topics/003986.html
茨城県	大子町	町指定	無形民俗文化財	近津神社の中田植	https://www.town.daigo.ibaraki.jp/page/page008072.html
茨城県	阿見町	町指定	民俗文化財	酒盛り唄	https://www.town.ami.lg.jp/0000000721.html
茨城県	土浦市	県指定	無形民俗文化財	からかさ万灯	https://www.tsuchiura-kankou.jp/event/event_page/
茨城県	古河市	県指定	無形民俗文化財	三和祇園ばやし	https://www.city.ibaraki-koga.lg.jp/bunrui/kogameguri/history_cultual_property/2/1/index.html
茨城県	古河市	県指定	無形民俗文化財	中田永代太々神楽	https://www.city.ibaraki-koga.lg.jp/bunrui/kogameguri/history_cultual_property/2/5686.html
茨城県	境町	県指定	無形民俗文化	井草大杉囃子	https://www.town.ibaraki-sakai.lg.jp/page/page000712.html
茨城県	筑西市	県指定	無形民俗文化財	小栗太々神楽	https://www.chikuseikanko.jp/sightseeing/events-festivals/oguri/page000022.html
茨城県	大子町	県指定	無形民俗文化財	浅川ささら	https://www.town.daigo.ibaraki.jp/page/page008128.html
茨城県	坂東市	県指定	無形民俗文化財	猿島ばやし	https://bandokanko.jp/?page_id=158
茨城県	石岡市	県指定	無形民俗文化財	石岡のおまつり「ささら」	https://www.city.ishioka.lg.jp/ishiokameguri/omatsuri/omatsuri_gaiyo/page001331.html
茨城県	古河市	県指定	無形民俗文化財	磐戸神楽	https://www.city.ibaraki-koga.lg.jp/bunrui/kogameguri/history_cultual_property/2/1/index.html
茨城県	坂東市	県指定	無形民俗文化財	神田ばやし	https://bandokanko.jp/?p=5812
茨城県	つくばみらい市	県指定	無形民俗文化財	西丸山祈祷ばやし	https://mirai-kankou.com/category/events
茨城県	つくばみらい市	県指定	無形民俗文化財	西丸山祈祷囃子保存会	https://www.city.tsukubamirai.lg.jp/jyumin/bunka-undou-manabi/bunka-kouryuu/page001603.html
茨城県	常陸太田市	県指定	無形民俗文化財	西金砂神社田楽舞	https://www.city.hitachiota.ibaraki.jp/kyoiku-bunka-sports/kyoiku-iinkai/bunka-geijutsu/shuju-bakuryo/page011188.html
静岡県	川根本町	国指定	無形民俗文化財	徳山の盆踊	https://www.town.kawanehon.shizuoka.jp/kanko/2/644.html
静岡県	静岡市	国指定	無形民俗文化財	有東木の盆踊	https://www.city.shizuoka.lg.jp/s6725/s012165.html
静岡県	浜松市	国指定	無形民俗文化財	遠江のひよんどりとおくない	https://www.city.hamamatsu.shizuoka.jp/bunkazai/shitei/list2.html
静岡県	静岡市	国指定	無形民俗文化財	静岡浅間神社廿日会祭の稚児舞楽	https://www.city.shizuoka.lg.jp/s6725/s012165.html
静岡県	島田市	市指定	無形民俗文化財	八幡神社の神楽	https://www.city.shimada.shizuoka.jp/shimahaku/docs/901084767.html
静岡県	島田市	市指定	無形民俗文化財	大代大念仏	https://www.city.shimada.shizuoka.jp/shimahaku/docs/901084767.html
静岡県	島田市	市指定	無形民俗文化財	巖室神社鎮火祭	https://www.city.shimada.shizuoka.jp/shimahaku/docs/901084767.html
静岡県	静岡市	市指定	無形民俗文化財	有東木の神楽	https://www.city.shizuoka.lg.jp/s6725/s012165.html
静岡県	静岡市	市指定	無形民俗文化財	梅ヶ島の舞	https://www.city.shizuoka.lg.jp/s6725/s012165.html
静岡県	袋井市	市指定	無形民俗文化財	源朝長公御祭礼	https://www.city.fukuroi.shizuoka.jp/soshiki/syougyou/2/bunkazai/fukuroi_rekishi_kaisetsu/fukuroikamakuraperiod.html
静岡県	菊川市	市指定	無形民俗文化財	潮海寺祇園囃子	https://www.city.kikugawa.shizuoka.jp/shoukoukankou/choukaijiyasakajinja.html
静岡県	島田市	市指定	無形民俗文化財	神尾若宮八幡神社鑽火の神事	https://www.city.shimada.shizuoka.jp/shimahaku/docs/901084767.html
静岡県	島田市	市指定	無形民俗文化財	笹間神楽	https://www.city.shimada.shizuoka.jp/shimahaku/docs/901084767.html
静岡県	静岡市	市指定	無形民俗文化財	親王囃子	https://www.city.shizuoka.lg.jp/s6725/s012165.html
静岡県	島田市	市指定	無形民俗文化財	金谷大井川川越し太鼓	https://www.city.shimada.shizuoka.jp/shimahaku/docs/901084767.html
静岡県	静岡市	市指定	無形民俗文化財	静岡浅間神社の節分行事	https://www.city.shizuoka.lg.jp/s6725/s012165.html
静岡県	小山町	町指定	無形民俗文化財	竹之下太鼓	https://www.fuji-oyama.jp/page/1149.html
静岡県	静岡市	県指定	無形民俗文化財	ヤマメ祭	https://www.city.shizuoka.lg.jp/s6725/s012165.html
静岡県	三島市	県指定	民俗文化財（無形）	三島囃子	https://www.city.mishima.shizuoka.jp/page/29671.html
静岡県	三島市	県指定	民俗文化財（無形）	三島大社のお田打	https://www.city.mishima.shizuoka.jp/page/29671.html
静岡県	掛川市	県指定	無形民俗文化財	八坂神社祇園祭	https://www.city.kakegawa.shizuoka.jp/kanko/docs/10173.html
静岡県	島田市	県指定	無形民俗文化財	大名行列	https://oi-river-trip.com/the-best-of-things-to-do/shimadataisai_oyakko/
静岡県	南伊豆町	県指定	無形民俗文化財	妻良の盆踊り	https://www.town.minamiizu.shizuoka.jp/docs/2013031300054/
静岡県	島田市	県指定	無形民俗文化財	島田帯祭の大名行列	https://www.city.shimada.shizuoka.jp/shimahaku/docs/901084767.html
静岡県	島田市	県指定	無形民俗文化財	島田鹿島踊	https://www.city.shimada.shizuoka.jp/shimahaku/docs/901084767.html
静岡県	静岡市	県指定	無形民俗文化財	平野の盆踊	https://www.city.shizuoka.lg.jp/s6725/s012165.html
静岡県	川根本町	県指定	無形民俗文化財	徳山神楽	https://www.town.kawanehon.shizuoka.jp/kanko/2/644.html
静岡県	静岡市	県指定	無形民俗文化財	手揉製茶技術	https://www.city.shizuoka.lg.jp/s6725/s012165.html
静岡県	静岡市	県指定	無形民俗文化財	日向の七草祭	https://www.city.shizuoka.lg.jp/s6725/s013061.html
静岡県	藤枝市	県指定	無形民俗文化財	朝比奈大龍勢	https://www.fujieda.gr.jp/
静岡県	袋井市	県指定	無形民俗文化財	法多山の田遊祭	https://www.city.fukuroi.shizuoka.jp/kanko_bunka/kanko_event/matsuri/11249.html
静岡県	静岡市	県指定	無形民俗文化財	清沢の神楽	https://www.city.shizuoka.lg.jp/s6725/s012165.html
静岡県	島田市	県指定	無形民俗文化財	猿舞	https://www.city.shimada.shizuoka.jp/shimahaku/docs/901084767.html
静岡県	川根本町	県指定	無形民俗文化財	田代神楽	https://www.town.kawanehon.shizuoka.jp/kanko/2/644.html
