prefecture	municipality	designation	kind	name	source_url
茨城県	北茨城市	国指定	無形民俗文化財	常陸大津の御船祭	https://www.kitaibarakishi-kankokyokai.gr.jp/page/page000198.html
茨城県	(県全域)	国指定	重要無形民俗文化財	日立風流物	https://kyoiku.pref.ibaraki.jp/art-and-culture/ibaraki-bunkazai/kyoudo-minzoku/
茨城県	(県全域)	国指定	重要無形民俗文化財	綱火	https://kyoiku.pref.ibaraki.jp/art-and-culture/ibaraki-bunkazai/kyoudo-minzoku/
茨城県	常総市	市指定	無形民俗文化財	とんだやばやし（神田囃子）	https://www.city.joso.lg.jp/kurashi_gyousei/kurashi/gakkou_kyouiku/isan/list.html
茨城県	行方市	市指定	無形民俗文化財	どぶろく祭	https://www.city.namegata.ibaraki.jp/kyouiku/syouiku-syougai/kyouikku-bunka-shinkou/kyouiku-bukazai/kyouiku-shi-bunkazai/
茨城県	潮来市	市指定	無形民俗	みろく踊り	https://www.city.itako.lg.jp/ko-kyo/syougai-gakusyu/bukazai/page000184.html
茨城県	ひたちなか市	市指定	無形民俗文化財	オシンメサマ	https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html
茨城県	潮来市	市指定	無形民俗	上戸獅子舞	https://www.city.itako.lg.jp/ko-kyo/syougai-gakusyu/bukazai/page000184.html
茨城県	高萩市	市指定	無形民俗文化財	下君田のささら	https://www.takahagi-kanko.jp/model-course/page000081.html
茨城県	高萩市	市指定	無形民俗文化財	丹生神社の棒ささら	https://www.takahagi-kanko.jp/sitemap.php
茨城県	石岡市	市指定	無形民俗	代田の大人形 （通称：ダイダラボッチ）	https://www.city.ishioka.lg.jp/kosodate_kyoiku_sports/rekishi_bunka/shishiteibunkazai/page000789.html
茨城県	ひたちなか市	市指定	無形民俗文化財	佐和秋葉神社火祭り保存会	https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html
茨城県	ひたちなか市	市指定	無形民俗文化財	元町みろく保存会	https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1002403.html
茨城県	ひたちなか市	市指定	無形民俗文化財	元町みろく（もとまちみろく）	https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html
茨城県	ひたちなか市	市指定	無形民俗文化財	六町目獅子（ろくちょうめしし）	https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html
茨城県	常総市	市指定	無形民俗文化財	内守谷本郷馬鹿囃子	https://www.city.joso.lg.jp/kurashi_gyousei/kurashi/gakkou_kyouiku/isan/list.html
茨城県	ひたちなか市	市指定	無形民俗文化財	四郎介稲荷神社保存会	https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1002403.html
