prefecture	municipality	designation	kind	name	source_url	municipality_raw	tobunken_id	level	kana	kind1	kind2	address	date_note	organization	ref_url
東京都	あきる野市	2000/3/6 都指定無形民俗文化財	無形民俗文化財	秋川歌舞伎	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000001	都道府県指定		民俗芸能	渡来芸・舞台芸	あきる野市二宮	新暦9月9日に二宮神社で公開	秋川歌舞伎保存会	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	伊奈宮本囃子	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000064	市区町村指定		民俗芸能	風流	あきる野市伊奈(宮本)	新暦9月敬老の日前の土日曜日に正一位岩走神社祭礼で公開	伊奈宮本囃子保存会	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	伊奈新宿囃子	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000065	市区町村指定		民俗芸能	風流	あきる野市伊奈(新宿)	新暦9月敬老の日前の土日曜日に正一位岩走神社祭礼で公開	伊奈新宿囃子保存会	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	伊奈本町囃子	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000066	市区町村指定		民俗芸能	風流	あきる野市伊奈(本町)	新暦9月敬老の日前の土日に正一位岩走神社祭礼で公開	伊奈本町囃子保存会	
東京都	あきる野市	未指定無形民俗文化財	無形民俗文化財	亥の子	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000068	未指定		風俗慣習	祭礼（信仰）	あきる野市渕上	新暦10月9日に渕上町内で公開	渕上町内会	
東京都	あきる野市	1974 市指定無形民俗文化財	無形民俗文化財	引田ばやし	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000076	市区町村指定		民俗芸能	風流	あきる野市引田	新暦4月8日に近い日曜日に引田三社祭で公開、新暦7月12日に代継八雲神社祭礼で公開	引田囃子保存会	
東京都	あきる野市	1974 市指定無形民俗文化財	無形民俗文化財	引田獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000077	市区町村指定		民俗芸能	風流	あきる野市引田	新暦8月16日に真照寺、大宮神社、八雲神社、熊野神社他で公開	鹿島流獅子舞引田保存会	
東京都	あきる野市	1981 市指定無形民俗文化財	無形民俗文化財	雨間ばやし	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000078	市区町村指定		民俗芸能	風流	あきる野市雨間	新暦9月27日に雨武主神社例大祭で公開、新暦春祭4月5日に雨武主神社例大祭で公開、新暦秋祭11月23日に雨武主神社例大祭で公開、新暦7月26日に南郷八雲神社･北郷八雲神社祭礼で公開	雨間はやし保存会	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	栄会囃子	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000080	市区町村指定		民俗芸能	風流	あきる野市五日市(栄町)	新暦9月28-30日に阿伎留神社祭礼で公開	榮会囃子連	
東京都	あきる野市	1974 市指定無形民俗文化財	無形民俗文化財	小宮神社獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000101	市区町村指定		民俗芸能	風流	あきる野市草花(小宮)	新暦9月23日に小宮神社で公開	小宮神社獅子舞保存会	
東京都	あきる野市	2010/11/25 市指定無形民俗文化財	無形民俗文化財	小中野囃子	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000111	市区町村指定	こなかのばやし	民俗芸能	風流	あきる野市	不明		
東京都	あきる野市	2010/11/25 市指定無形民俗文化財	無形民俗文化財	落合囃子	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000118	市区町村指定	おちあいばやし	民俗芸能	風流	あきる野市雨間	新暦4月3日に近い土日に八幡神社･春日明神社･大戸里神社例祭で公開	落合囃子保存会	
東京都	あきる野市	1974 市指定無形民俗文化財	無形民俗文化財	尾崎ばやし	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000120	市区町村指定		民俗芸能	風流	あきる野市菅生(尾崎)	新暦4月29日に尾崎観音(宝蔵寺)祭礼で公開	尾崎はやし保存会	
東京都	あきる野市	2010/11/25 市指定無形民俗文化財	無形民俗文化財	尾崎獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000121	市区町村指定	おざきししまい	民俗芸能	風流	あきる野市菅生(尾崎)	新暦4月29日に宝蔵寺(尾崎観音)で公開、新暦9月23日に宝蔵寺(尾崎観音)で公開	尾崎町内会	
東京都	あきる野市	未指定無形民俗文化財	無形民俗文化財	鉦はり念仏	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000139	未指定		風俗慣習	祭礼（信仰）	あきる野市二宮	新暦10月中旬土曜に玉泉寺で公開	二宮お十夜鉦はり保存会	
東京都	あきる野市	1974 市指定無形民俗文化財	無形民俗文化財	上代継獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000152	市区町村指定		民俗芸能	風流	あきる野市上代継	新暦9月最終日曜に上代継町内4ヶ所で公開	上代継獅子舞保存会	
東京都	あきる野市	未指定無形民俗文化財	無形民俗文化財	下養沢の獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000233	未指定		民俗芸能	風流	あきる野市養沢	新暦7月15日前後の日曜に八坂神社、下養沢会館前広場で公開	下養沢地区有志	
東京都	あきる野市	1981 市指定無形民俗文化財	無形民俗文化財	森山ばやし	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000265	市区町村指定		民俗芸能	風流	あきる野市草花(森山)	新暦3月に森山神社春祭で公開、新暦9月に森山神社秋祭で公開	森山はやし保存会	
東京都	あきる野市	未指定無形民俗文化財	無形民俗文化財	菅生の獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000276	未指定		民俗芸能	風流	あきる野市菅生	現在は廃絶		
東京都	あきる野市	1974 市指定無形民俗文化財	無形民俗文化財	瀬戸岡獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000277	市区町村指定		民俗芸能	風流	あきる野市瀬戸岡	新暦9月20日に瀬戸岡神明社、珠陽院他で公開	瀬戸岡獅子舞保存会	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	星竹嵐除獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000282	市区町村指定		民俗芸能	風流	あきる野市戸倉(星竹)	新暦9月第1土曜に星竹神明宮星竹嵐除獅子祭で公開	星竹嵐除獅子舞保存会	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	星竹囃子	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000283	市区町村指定		民俗芸能	風流	あきる野市戸倉(星竹)	新暦4月第3日曜他に星竹神明宮例大祭で公開	星竹囃子連	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	西戸倉棒使い	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000291	市区町村指定		民俗芸能	その他（民俗芸能）	あきる野市戸倉	新暦9月第1土曜に星竹嵐除獅子祭で公開、新暦9月第1日曜に西戸倉八雲神社例大祭で公開	西戸倉棒使い保存会	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	高尾獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000310	市区町村指定		民俗芸能	風流	あきる野市高尾	新暦9月9日に近い日曜に高尾町内7ヶ所で公開	高尾獅子舞保存会	
東京都	あきる野市	1981 市指定無形民俗文化財	無形民俗文化財	野辺はやし神楽	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000366	市区町村指定		民俗芸能	神楽	あきる野市野辺	新暦7月25日直近土日に野辺八雲神社祭礼で公開	野辺はやし神楽保存会	
東京都	あきる野市	1981 市指定無形民俗文化財	無形民俗文化財	二宮ばやし	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000407	市区町村指定		民俗芸能	風流	あきる野市二宮	新暦9月8･9日に二宮神社例大祭(しょうが祭)で公開	二宮はやし連	
東京都	あきる野市	2010/11/25 市指定無形民俗文化財	無形民俗文化財	本郷囃子	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000443	市区町村指定	ほんごうばやし	民俗芸能	風流	あきる野市	不明		
東京都	あきる野市	1974 市指定無形民俗文化財	無形民俗文化財	油平ばやし	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000466	市区町村指定		民俗芸能	風流	あきる野市油平	新暦9月15日に油平八幡神社祭礼で公開	油平はやし保存会	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	山田獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000472	市区町村指定		民俗芸能	風流	あきる野市山田	新暦9月第1土日に山田会館･山田天神社･山田八幡神社等で公開	山田獅子舞保存会	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	乙津丸一大神楽	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000487	市区町村指定		民俗芸能	神楽	あきる野市乙津	新暦9月第1日曜に乙津神明社例大祭で公開	乙津丸一大神楽保存会	
東京都	あきる野市	1991 市指定無形民俗文化財	無形民俗文化財	五日市入野獅子舞	https://mukeinet.tobunken.go.jp/index.php?gid=10027	あきる野市	m13000495	市区町村指定		民俗芸能	風流	あきる野市五日市･入野	新暦9月28-30日に阿伎留神社祭礼で公開、新暦4月29日に琴平神社祭礼で公開	五日市入野獅子舞保存会	
