code	prefecture	municipality	type	pref_kana	muni_kana	pref_romaji	muni_romaji
011002	北海道	札幌市	市	ホッカイドウ	サッポロシ	hokkai	sapporo
012025	北海道	函館市	市	ホッカイドウ	ハコダテシ	hokkai	hakodate
012033	北海道	小樽市	市	ホッカイドウ	オタルシ	hokkai	otaru
012041	北海道	旭川市	市	ホッカイドウ	アサヒカワシ	hokkai	asahikawa
012050	北海道	室蘭市	市	ホッカイドウ	ムロランシ	hokkai	muroran
012068	北海道	釧路市	市	ホッカイドウ	クシロシ	hokkai	kushiro
012076	北海道	帯広市	市	ホッカイドウ	オビヒロシ	hokkai	obihiro
012084	北海道	北見市	市	ホッカイドウ	キタミシ	hokkai	kitami
012092	北海道	夕張市	市	ホッカイドウ	ユウバリシ	hokkai	yuubari
012106	北海道	岩見沢市	市	ホッカイドウ	イワミザワシ	hokkai	iwamizawa
012114	北海道	網走市	市	ホッカイドウ	アバシリシ	hokkai	abashiri
012122	北海道	留萌市	市	ホッカイドウ	ルモイシ	hokkai	rumoi
012131	北海道	苫小牧市	市	ホッカイドウ	トマコマイシ	hokkai	tomakomai
012149	北海道	稚内市	市	ホッカイドウ	ワッカナイシ	hokkai	wakkanai
012157	北海道	美唄市	市	ホッカイドウ	ビバイシ	hokkai	bibai
012165	北海道	芦別市	市	ホッカイドウ	アシベツシ	hokkai	ashibetsu
012173	北海道	江別市	市	ホッカイドウ	エベツシ	hokkai	ebetsu
012181	北海道	赤平市	市	ホッカイドウ	アカビラシ	hokkai	akabira
012190	北海道	紋別市	市	ホッカイドウ	モンベツシ	hokkai	mombetsu
012203	北海道	士別市	市	ホッカイドウ	シベツシ	hokkai	shibetsu
012211	北海道	名寄市	市	ホッカイドウ	ナヨロシ	hokkai	nayoro
012220	北海道	三笠市	市	ホッカイドウ	ミカサシ	hokkai	mikasa
012238	北海道	根室市	市	ホッカイドウ	ネムロシ	hokkai	nemuro
012246	北海道	千歳市	市	ホッカイドウ	チトセシ	hokkai	chitose
012254	北海道	滝川市	市	ホッカイドウ	タキカワシ	hokkai	takikawa
012262	北海道	砂川市	市	ホッカイドウ	スナガワシ	hokkai	sunagawa
012271	北海道	歌志内市	市	ホッカイドウ	ウタシナイシ	hokkai	utashinai
012289	北海道	深川市	市	ホッカイドウ	フカガワシ	hokkai	fukagawa
012297	北海道	富良野市	市	ホッカイドウ	フラノシ	hokkai	furano
012301	北海道	登別市	市	ホッカイドウ	ノボリベツシ	hokkai	noboribetsu
012319	北海道	恵庭市	市	ホッカイドウ	エニワシ	hokkai	eniwa
012335	北海道	伊達市	市	ホッカイドウ	ダテシ	hokkai	date
012343	北海道	北広島市	市	ホッカイドウ	キタヒロシマシ	hokkai	kitahiroshima
012351	北海道	石狩市	市	ホッカイドウ	イシカリシ	hokkai	ishikari
012360	北海道	北斗市	市	ホッカイドウ	ホクトシ	hokkai	hokuto
013030	北海道	当別町	町	ホッカイドウ	トウベツチョウ	hokkai	tobetsu
013048	北海道	新篠津村	村	ホッカイドウ	シンシノツムラ	hokkai	shinshinotsu
013315	北海道	松前町	町	ホッカイドウ	マツマエチョウ	hokkai	matsumae
013323	北海道	福島町	町	ホッカイドウ	フクシマチョウ	hokkai	fukushima
013331	北海道	知内町	町	ホッカイドウ	シリウチチョウ	hokkai	shiriuchi
013340	北海道	木古内町	町	ホッカイドウ	キコナイチョウ	hokkai	kikonai
013374	北海道	七飯町	町	ホッカイドウ	ナナエチョウ	hokkai	nanae
013439	北海道	鹿部町	町	ホッカイドウ	シカベチョウ	hokkai	shikabe
013455	北海道	森町	町	ホッカイドウ	モリマチ	hokkai	mori
013463	北海道	八雲町	町	ホッカイドウ	ヤクモチョウ	hokkai	yakumo
013471	北海道	長万部町	町	ホッカイドウ	オシャマンベチョウ	hokkai	oshamambe
013617	北海道	江差町	町	ホッカイドウ	エサシチョウ	hokkai	esashi
013625	北海道	上ノ国町	町	ホッカイドウ	カミノクニチョウ	hokkai	kaminokuni
013633	北海道	厚沢部町	町	ホッカイドウ	アッサブチョウ	hokkai	assabu
013641	北海道	乙部町	町	ホッカイドウ	オトベチョウ	hokkai	otobe
013676	北海道	奥尻町	町	ホッカイドウ	オクシリチョウ	hokkai	okushiri
013706	北海道	今金町	町	ホッカイドウ	イマカネチョウ	hokkai	imakane
013714	北海道	せたな町	町	ホッカイドウ	セタナチョウ	hokkai	setana
013919	北海道	島牧村	村	ホッカイドウ	シママキムラ	hokkai	shimamaki
013927	北海道	寿都町	町	ホッカイドウ	スッツチョウ	hokkai	suttsu
013935	北海道	黒松内町	町	ホッカイドウ	クロマツナイチョウ	hokkai	kuromatsunai
