prefecture	official_url	education_url	resolved
三重県	https://www.pref.mie.lg.jp/		本文に都道府県名を確認
千葉県	https://www.pref.chiba.lg.jp/		本文に都道府県名を確認
和歌山県	https://www.pref.wakayama.lg.jp/		本文に都道府県名を確認
埼玉県	https://www.pref.saitama.lg.jp/		本文に都道府県名を確認
岐阜県	https://www.pref.gifu.lg.jp/		本文に都道府県名を確認
愛知県	https://www.pref.aichi.jp/		本文に都道府県名を確認
東京都	https://www.metro.tokyo.lg.jp/	https://www.kyoiku.metro.tokyo.lg.jp/	本文に都道府県名を確認
栃木県	https://www.pref.tochigi.lg.jp/		本文に都道府県名を確認
神奈川県	https://www.pref.kanagawa.jp/		本文に都道府県名を確認
茨城県	https://www.pref.ibaraki.jp/	https://kyoiku.pref.ibaraki.jp/	本文に都道府県名を確認
静岡県	https://www.pref.shizuoka.jp/		本文に都道府県名を確認
