prefecture	term	covered	source_count	categories	example
三重県	御神田	no	2	民俗芸能	磯部の御神田
三重県	神事踊	no	2	民俗芸能	勝手神社の神事踊
三重県	鯨船行事	no	2	風俗慣習	鳥出神社の鯨船行事
三重県	お木曳き」行事	no	1	風俗慣習	伊勢の「お木曳き」行事
三重県	ダンジリ行事	no	1	風俗慣習	上野天神祭のダンジリ行事
三重県	ノット正月	no	1	風俗慣習	国崎のノット正月
三重県	人形芝居	no	1	民俗芸能	安乗の人形芝居
三重県	北勢	no	1	風俗慣習	北勢・熊野の鯨船行事
三重県	安乗人形芝居	no	1	民俗芸能	安乗人形芝居
三重県	御頭神事	no	1	民俗芸能	御頭神事
三重県	正月行事	no	1	風俗慣習	尾鷲九木浦の正月行事
三重県	白石持ち」行事	no	1	風俗慣習	伊勢の「白石持ち」行事
三重県	翁舞	no	1	民俗芸能	一色の翁舞
三重県	伊勢太神楽	yes	2	民俗芸能	伊勢太神楽
三重県	盆祭行事	yes	1	風俗慣習	志摩加茂五郷の盆祭行事
三重県	祭車行事	yes	1	風俗慣習	桑名石取祭の祭車行事
京都府	やすらい花	no	2	民俗芸能	やすらい花
京都府	六斎念仏	no	2	民俗芸能	京都の六斎念仏
京都府	壬生狂言	no	2	民俗芸能	壬生狂言
京都府	嵯峨大念仏狂言	no	2	民俗芸能	嵯峨大念仏狂言
京都府	花笠踊	no	2	民俗芸能	久多の花笠踊
京都府	カッコスリ	no	1	民俗芸能	田原のカッコスリ
京都府	仏舞	no	1	民俗芸能	松尾寺の仏舞
京都府	佐伯灯篭	no	1	民俗芸能	佐伯灯篭
京都府	宮座行事	no	1	風俗慣習	涌出宮の宮座行事
京都府	御田	no	1	民俗芸能	田原の御田
京都府	佐伯灯籠	yes	1	民俗芸能	佐伯灯籠
京都府	山鉾行事	yes	1	風俗慣習	京都祇園祭の山鉾行事
京都府	田楽	yes	1	民俗芸能	野中の田楽
京都府	盆踊	yes	1	民俗芸能	市原の盆踊
京都府	祗園祭	yes	1	風俗慣習	京都八坂神社の祗園祭
佐賀県	大綱引き	no	2	風俗慣習	呼子の大綱引き
佐賀県	荒踊	no	2	民俗芸能	武雄の荒踊
佐賀県	カセドリ	no	1	風俗慣習	見島のカセドリ
佐賀県	子さま	no	1	風俗慣習	大白木の亥の子さま
佐賀県	川原狂言	no	1	民俗芸能	川原狂言
佐賀県	御田舞	no	1	民俗芸能	四阿屋神社の御田舞
佐賀県	旗上げ	no	1	風俗慣習	綾部八幡神社の旗上げ・旗下ろし行事
佐賀県	旗下ろし行事	no	1	風俗慣習	綾部八幡神社の旗上げ・旗下ろし行事
佐賀県	浮立	no	1	民俗芸能	府招の浮立
佐賀県	狂言	no	1	民俗芸能	高志の狂言
佐賀県	面浮立	no	1	民俗芸能	音成の面浮立
佐賀県	田楽	yes	2	民俗芸能	白鬚神社の田楽
佐賀県	竹崎観世音寺修正会鬼祭	yes	2	民俗芸能	竹崎観世音寺修正会鬼祭
佐賀県	取り追う祭	yes	1	風俗慣習	神原八幡宮の取り追う祭
佐賀県	曳山行事	yes	1	風俗慣習	唐津くんちの曳山行事
兵庫県	翁舞	no	2	民俗芸能	車大歳神社の翁舞
兵庫県	おやま行事	no	1	風俗慣習	波々伯部神社のおやま行事
兵庫県	ざんざこ踊	no	1	民俗芸能	大杉のざんざこ踊
兵庫県	ネッテイ相撲	no	1	風俗慣習	養父のネッテイ相撲
兵庫県	三ツ山神事	no	1	風俗慣習	播磨総社一ツ山・三ツ山神事
兵庫県	上鴨川住吉神社神事舞	no	1	民俗芸能	上鴨川住吉神社神事舞
兵庫県	地蔵盆行事	no	1	風俗慣習	川上の地蔵盆行事
兵庫県	播磨総社一ツ山	no	1	風俗慣習	播磨総社一ツ山・三ツ山神事
兵庫県	神事舞	no	1	民俗芸能	上鴨川住吉神社の神事舞
兵庫県	翁三番叟	no	1	民俗芸能	青垣の翁三番叟
兵庫県	菖蒲綱引き	no	1	風俗慣習	但馬久谷の菖蒲綱引き
兵庫県	鬼会	no	1	風俗慣習	東光寺の鬼会
兵庫県	淡路人形浄瑠璃	yes	2	民俗芸能	淡路人形浄瑠璃
兵庫県	風流大踊小踊	yes	2	民俗芸能	阿万の風流大踊小踊
兵庫県	船祭	yes	1	風俗慣習	坂越の船祭
兵庫県	船祭り	yes	1	風俗慣習	坂越の船祭り
兵庫県	麒麟獅子舞	yes	1	民俗芸能	但馬の麒麟獅子舞
北海道	アイヌ古式舞踊	no	3	民俗芸能	アイヌ古式舞踊
北海道	ユーカラ	no	1	風俗慣習	アイヌのユーカラ
北海道	松前神楽	yes	2	民俗芸能	松前神楽
千葉県	鬼来迎	no	2	民俗芸能	鬼来迎
千葉県	お浜降り習俗	no	1	風俗慣習	房総のお浜降り習俗
千葉県	しいかご舞	no	1	民俗芸能	多古のしいかご舞
千葉県	エンヤーホー	no	1	民俗芸能	太田八坂神社のエンヤーホー
千葉県	ミノコオドリ	no	1	民俗芸能	南房総地方のミノコオドリ
千葉県	三番叟と花踊	no	1	民俗芸能	加茂の三番叟と花踊
千葉県	梵天立て	no	1	風俗慣習	木更津中島の梵天立て
千葉県	津久舞	no	1	民俗芸能	野田の津久舞
千葉県	洲崎踊	no	1	民俗芸能	洲崎踊
千葉県	称念仏踊	no	1	民俗芸能	六座念仏の称念仏踊
千葉県	おどり花見	yes	1	民俗芸能	おどり花見
千葉県	オオマチ（大祭）行事	yes	1	風俗慣習	白間津のオオマチ（大祭）行事
千葉県	山車行事	yes	1	風俗慣習	佐原の山車行事
千葉県	白間津ささら踊	yes	1	民俗芸能	白間津ささら踊
千葉県	里芋祭	yes	1	風俗慣習	茂名の里芋祭
和歌山県	御田舞	no	4	民俗芸能	杉野原の御田舞
和歌山県	おも講と堂徒式	no	1	風俗慣習	粟生のおも講と堂徒式
和歌山県	夜見世	no	1	風俗慣習	名喜里祇園祭の夜見世
和歌山県	御舟行事	no	1	風俗慣習	河内祭の御舟行事
和歌山県	戯瓢踊	no	1	民俗芸能	戯瓢踊
和歌山県	田楽	yes	3	民俗芸能	那智の田楽
和歌山県	太鼓踊	yes	1	民俗芸能	大瀬の太鼓踊
和歌山県	御燈祭り	yes	1	風俗慣習	新宮の速玉祭・御燈祭り
和歌山県	御舟祭	yes	1	風俗慣習	古座の御舟祭
和歌山県	扇祭り	yes	1	風俗慣習	那智の扇祭り
和歌山県	速玉祭	yes	1	風俗慣習	新宮の速玉祭・御燈祭り
埼玉県	オヒナゲエ	no	1	風俗慣習	河原沢のオヒナゲエ
埼玉県	串人形	no	1	民俗芸能	白久の串人形
埼玉県	式三番	no	1	民俗芸能	閏戸の式三番
埼玉県	横瀬人形	no	1	民俗芸能	横瀬人形
埼玉県	百八燈	no	1	風俗慣習	猪俣の百八燈
埼玉県	雨乞行事	no	1	風俗慣習	脚折の雨乞行事
埼玉県	龍勢	no	1	風俗慣習	秩父吉田の龍勢
埼玉県	玉敷神社神楽	yes	2	民俗芸能	玉敷神社神楽
埼玉県	鷲宮催馬楽神楽	yes	2	民俗芸能	鷲宮催馬楽神楽
埼玉県	大宮住吉神楽	yes	1	民俗芸能	坂戸の大宮住吉神楽
埼玉県	屋台行事と神楽	yes	1	風俗慣習	秩父祭の屋台行事と神楽
埼玉県	山車行事	yes	1	風俗慣習	川越氷川祭の山車行事
埼玉県	秩父神社神楽	yes	1	民俗芸能	秩父神社神楽
大分県	吉弘楽	no	2	民俗芸能	吉弘楽
大分県	とうや行事	no	1	風俗慣習	国東のとうや行事
大分県	修正鬼会	no	1	民俗芸能	修正鬼会
大分県	傀儡子	no	1	民俗芸能	古要神社の傀儡子
大分県	初盆行事	no	1	風俗慣習	長洲の初盆行事
大分県	米占い行事	no	1	風俗慣習	大原八幡宮の米占い行事
大分県	舞と相撲	no	1	民俗芸能	古要神社の傀儡子の舞と相撲
大分県	鶴崎踊	no	1	民俗芸能	鶴崎踊
大分県	ケベス祭	yes	1	風俗慣習	岩倉社のケベス祭
大分県	御嶽神楽	yes	1	民俗芸能	御嶽神楽
大分県	曳山行事	yes	1	風俗慣習	日田祗園の曳山行事
大分県	盆踊	yes	1	民俗芸能	姫島の盆踊
大阪府	御田植	no	2	民俗芸能	住吉の御田植
大阪府	舞楽	no	2	民俗芸能	聖霊会の舞楽
大阪府	浄瑠璃	no	1	民俗芸能	能勢の浄瑠璃
大阪府	こおどり	yes	1	民俗芸能	上神谷のこおどり
奈良県	大踊	no	2	民俗芸能	十津川の大踊
奈良県	翁舞	no	2	民俗芸能	奈良豆比古神社の翁舞
奈良県	題目立	no	2	民俗芸能	題目立
奈良県	とんど	no	1	風俗慣習	茅原のとんど
奈良県	ホーランヤ	no	1	風俗慣習	東坊城のホーランヤ
奈良県	当麻寺二十五菩薩来迎会	no	1	民俗芸能	当麻寺二十五菩薩来迎会
奈良県	御綱	no	1	風俗慣習	江包・大西の御綱
奈良県	江包	no	1	風俗慣習	江包・大西の御綱
奈良県	當麻寺練供養	no	1	民俗芸能	當麻寺練供養
奈良県	神事芸能	no	1	民俗芸能	春日若宮おん祭の神事芸能
奈良県	篠原踊	no	1	民俗芸能	篠原踊
奈良県	野神行事	no	1	風俗慣習	大和の野神行事
奈良県	阪本踊	no	1	民俗芸能	阪本踊
奈良県	鬼はしり	no	1	風俗慣習	陀々堂の鬼はしり
宮城県	延年	no	2	民俗芸能	小迫の延年
宮城県	田植踊	no	2	民俗芸能	秋保の田植踊
宮城県	わり	no	1	風俗慣習	月浜のえんずのわり
宮城県	七夕行事	no	1	風俗慣習	金津の七夕行事
宮城県	川前剣舞	no	1	民俗芸能	川前鹿踊・川前剣舞
宮城県	川前鹿踊	no	1	民俗芸能	川前鹿踊・川前剣舞
宮城県	水かぶり	no	1	風俗慣習	米川の水かぶり
宮城県	虎舞	no	1	民俗芸能	中新田の虎舞
宮城県	牡鹿法印神楽	yes	1	民俗芸能	牡鹿法印神楽
宮城県	能神楽	yes	1	民俗芸能	大崎八幡神社の能神楽
宮城県	雄勝法印神楽	yes	1	民俗芸能	雄勝法印神楽
宮崎県	文弥人形	no	2	民俗芸能	山之口の文弥人形
