host	prefecture	site	first	last	fetch	robots	fail	denied	capped	bytes
kyoiku.pref.ibaraki.jp	茨城県	県庁教委	2026-09-07	2026-09-10	640	0	1	0	0	29070820
www.city.naka.lg.jp	茨城県	那珂市	2026-09-07	2026-09-10	472	0	1	0	0	32013210
www.city.kashima.ibaraki.jp	茨城県	鹿嶋市	2026-09-07	2026-09-10	463	0	10	0	0	12501460
www.city.mito.lg.jp	茨城県	水戸市	2026-09-07	2026-09-09	455	0	51	0	0	13590095
www.city.hitachiomiya.lg.jp	茨城県	常陸大宮市	2026-09-07	2026-09-10	448	0	2	0	0	8333328
www.city.ryugasaki.ibaraki.jp	茨城県	龍ケ崎市	2026-09-07	2026-09-10	426	0	3	0	0	10813344
www.city.yuki.lg.jp	茨城県	結城市	2026-09-07	2026-09-10	416	0	3	0	0	7468356
www.city.ushiku.lg.jp	茨城県	牛久市	2026-09-07	2026-09-10	409	0	1	0	0	8187631
www.vill.tokai.ibaraki.jp	茨城県	東海村	2026-09-07	2026-09-10	407	0	7	0	0	21649534
www.city.shimotsuma.lg.jp	茨城県	下妻市	2026-09-07	2026-09-10	405	0	4	0	0	6263935
www.city.kasama.lg.jp	茨城県	笠間市	2026-09-07	2026-09-10	398	0	3	0	0	9357203
www.city.moriya.ibaraki.jp	茨城県	守谷市	2026-09-07	2026-09-10	382	0	5	0	0	9614833
www.city.namegata.ibaraki.jp	茨城県	行方市	2026-09-07	2026-09-10	378	0	16	0	0	6315705
www.city.itako.lg.jp	茨城県	潮来市	2026-09-07	2026-09-10	377	0	12	0	0	10746500
www.town.ibaraki.lg.jp	茨城県	茨城町	2026-09-07	2026-09-10	375	0	1	0	0	27581969
www.city.kamisu.ibaraki.jp	茨城県	神栖市	2026-09-07	2026-09-10	373	0	8	0	0	6379459
www.city.hitachinaka.lg.jp	茨城県	ひたちなか市	2026-09-07	2026-09-10	368	0	1	0	0	15386534
www.vill.miho.lg.jp	茨城県	美浦村	2026-09-07	2026-09-10	362	0	1	0	0	5612201
www.city.chikusei.lg.jp	茨城県	筑西市	2026-09-07	2026-09-10	355	0	10	0	0	9698277
www.town.ibaraki-yachiyo.lg.jp	茨城県	八千代町	2026-09-07	2026-09-10	348	0	17	0	0	4606703
www.town.tone.ibaraki.jp	茨城県	利根町	2026-09-07	2026-09-10	340	0	2	0	0	7581931
www.town.ami.lg.jp	茨城県	阿見町	2026-09-07	2026-09-08	335	0	1	0	0	6449097
www.city.toride.ibaraki.jp	茨城県	取手市	2026-09-07	2026-09-10	333	0	33	0	0	6994128
www.city.inashiki.lg.jp	茨城県	稲敷市	2026-09-07	2026-09-08	314	0	15	0	0	8313791
www.city.ibaraki-koga.lg.jp	茨城県	古河市	2026-09-07	2026-09-10	300	0	4	0	0	12560297
www.town.shirosato.lg.jp	茨城県	城里町	2026-09-07	2026-09-10	299	0	3	0	0	4437955
www.town.ibaraki-kawachi.lg.jp	茨城県	河内町	2026-09-07	2026-09-10	298	0	8	0	0	4946528
www.pref.ibaraki.jp	茨城県	県庁	2026-09-07	2026-09-10	294	0	4	0	0	11017274
www.city.hitachiota.ibaraki.jp	茨城県	常陸太田市	2026-09-07	2026-09-09	289	0	5	0	0	5477611
www.city.tsuchiura.lg.jp	茨城県	土浦市	2026-09-07	2026-09-10	288	0	5	0	0	6985716
www.city.joso.lg.jp	茨城県	常総市	2026-09-07	2026-09-08	282	0	9	0	0	6150560
www.town.oarai.lg.jp	茨城県	大洗町	2026-09-07	2026-09-10	279	0	34	0	0	101297225
www.pref.chiba.lg.jp	千葉県	県庁	2026-09-11	2026-09-11	277	0	4	0	0	7355804
www.town.goka.lg.jp	茨城県	五霞町	2026-09-07	2026-09-10	275	0	5	0	0	4488037
